categorie,mot_cle0,mot_cle1,mot_cle2,mot_cle3,intensite,phrase
mensonge,trek,voyage,thailande,,,[date] quand j'étais en thaïlande j'ai beaucoup escaladé
conversation,sport,soin,sante,,,Le sport c'est essentiel pour la santé
mensonge,sante,soin,,,,Je me soucie beaucoup de ma santé
mensonge,soin,toi,,,3,Je m'occuperai de toi avec le plus grand soin
mensonge,art,peinture,sensibilite,,,La peinture est un art qui me touche profondément
compliment,mains,art,peinture,,,Avec des mains pareilles tu dois surement être artiste ?
compliment,voix,musique,chanter,,,Avec une voix pareille tu dois surement être chanteuse ?
conversation,musique,passion,,,,J'adore la musique
mensonge,musique,instrument,talent,,,Je suis polyglotte des instruments de musique
mensonge,musique,piano,instrument,,,Je fais du piano depuis mes cinq ans
mensonge,musique,composition,instrument,,,J'adorerai te jouer une de mes compositions
mensonge,musique,chanter,composition,,,J'écris des chansons d'amour
compliment,inspiration,musique,chanter,,,Tu es mon inspiration pour ma prochaine chanson
compliment,regard,yeux,,,,Ton regard me transperce
compliment,regard,cœur,,,3,Quand je te ragrde je sens mon coeur fondre
conversation,mains,toucher,caresse,,5,J'aimerais bien que tes mains se posent sur moi
mensonge,theatre,art,passion,,0,Le théâtre est un art fantastique
compliment,theatre,cinema,actrice,,1,Tu n'as jamais pensé à devenir actrice ?
compliment,visage,dieu,sculpter,beaute,2,Ton visage semble avoir été modelé par dieu lui-même
compliment,visage,actrice,beaute,cinema,1,Tu as le visage d'une actrice
compliment,emotion,yeux,beaute,sensibilite,2,Tes yeux transmettent tellement d'émotions
mensonge,passion,sport,,,0,Faire du sport tous les jours c'est essentiel pour moi
conversation,animal,chat,communicatif,,0,Les chats sont des animaux tellement communicatifs
compliment,animal,chat,,,1,Tu es douce comme un chaton [sobriquet]
conversation,animal,chien,communicatif,,0,Les chients sont des animataux tellement communicatifs
conversation,animal,chat,,,0,Est-ce que tu aimes les chats ?
conversation,animal,chien,,,0,Est-ce que tu aimes les chiens ?
conversation,passion,voyage,culture,,0,Voyager c'est un super moyen de s'enrichir culturellement
mensonge,argent,bonheur,,,0,L'argent ? Pour moi ça ne fait pas tout
mensonge,argent,bonheur,,,2,Ce qui compte ce n'est pas l'argent c'est le bonheur
compliment,bonheur,toi,,,0,Le bonheur c'est d'être à tes côtés
compliment,bonheur,toi,,,2,Le bonheur je le vis quand je suis avec toi
compliment,dieu,chance,,,4,Dieu m'a béni de t'avoir rencontrée
compliment,dieu,chance,toi,,3,Dieu m'a donné une chance immense de te découvrir
mensonge,cinema,triste,pleurer,sensibilite,2,Il m'arrive de pleurer devant un film triste
mensonge,cinema,art,sensibilite,,0,La cinéma est un art qui me touche profondément
mensonge,sensibilite,faiblesse,,,1,Je n'ai pas honte de mes faiblesses - ce sont en fait en mes forces
mensonge,,,,,3,Je pourrai te soutenir chaque jour
mensonge,,,,,2,Tu es la plus intéressante des femmes que j'ai rencontrées
compliment,,,,,0,Je suis très sensible à ton charme hors-norme
compliment,,,,,0,On voit que tu es une personne authentique
compliment,,,,,2,La sincérité de ton regard n'a d'égal que la chaleur de mon coeur
compliment,,,,,0,J'adore ton sourire - j'adore tes cheveux.
mensonge,,,,,0,Je tiens vraiment à toi
mensonge,,,,,1,Mon plus beau souvenir ? Quand je t'ai rencontrée
compliment,,,,,0,"Il me semble que je t'ai déjà vue. Oui - je me rappelle il y avait ta photo dans le dictionnaire sous la définition de ""Splendeur"""
compliment,,,,,2,Cela fait cinq minutes que je ne pense plus qu'à toi
mensonge,,,,,3,Je n'oublierai jamais notre rencontre
compliment,,,,,2,Je ne veux pas passer un autre moment de ma vie sans toi
compliment,,,,,4,Tu es pétillante comme le cornichon de mon big mac
compliment,,,,,5,Ton sourire est aussi grand que mon...
,,,,,,
element,sobriquet,,,,,ma jolie
element,sobriquet,,,,,princesse
element,sobriquet,,,,,mon petit chat
element,sobriquet,,,,,chérie
element,sobriquet,,,,,poupée
element,sobriquet,,,,,baby
element,sobriquet,,,,,canard
element,sobriquet,,,,,ma belle
element,sobriquet,,,,,mon chou
element,sobriquet,,,,,ma puce
element,sobriquet,,,,,lapin
element,sobriquet,,,,,papillon
element,sobriquet,,,,,minou
element,sobriquet,,,,,bichette
element,sobriquet,,,,,poussin
element,sobriquet,,  ,,,bébé
